# Data extracted from FIG 12 in the article published by Cuniot-Ponsard et al. in JAP 109. 014107 (2011)
# https://doi.org/10.1063/1.3514083
# The data were filtered using the Savitzky-Golay algorithm
# https://docs.scipy.org/doc/scipy/reference/generated/scipy.signal.savgol_filter.html
# with a window length of 5 and a polyorder of 2
# Theta (degree)	reflectivity_Dyn_TE
30.0000	6.31128590e-06
30.8000	6.28272954e-06
31.6000	6.26683869e-06
32.4000	6.26888025e-06
33.2000	6.26767619e-06
34.0000	6.27965275e-06
34.8000	6.30901808e-06
35.6000	6.35638200e-06
36.4000	6.37402705e-06
37.2000	6.34234998e-06
38.0000	6.25277202e-06
38.8000	6.18257326e-06
39.6000	6.12717544e-06
40.4000	6.07540336e-06
41.2000	6.00649068e-06
42.0000	5.95448492e-06
42.8000	5.90191146e-06
43.6000	5.83707668e-06
44.4000	5.75913806e-06
45.2000	5.67607339e-06
46.0000	5.59058837e-06
46.8000	5.50077514e-06
47.6000	5.40702639e-06
48.4000	5.30030185e-06
49.2000	5.17219667e-06
50.0000	5.01950907e-06
50.8000	4.90294647e-06
51.6000	4.84071762e-06
52.4000	4.82379642e-06
53.2000	4.75554849e-06
54.0000	4.60237889e-06
54.8000	4.38151974e-06
55.6000	4.18723145e-06
56.4000	4.04602815e-06
57.2000	3.91694084e-06
58.0000	3.75087704e-06
58.8000	3.53777499e-06
59.6000	3.32810280e-06
60.4000	3.15907063e-06
61.2000	2.96718598e-06
62.0000	2.70493210e-06
62.8000	2.38927220e-06
63.6000	2.12850852e-06
64.4000	1.92358550e-06
65.2000	1.75372972e-06
66.0000	1.56484815e-06
66.8000	1.41508914e-06
67.6000	1.33201552e-06
68.4000	1.28134623e-06
69.2000	1.14664510e-06
70.0000	9.56220261e-07
