# Data extracted from FIG 12 in the article published by Cuniot-Ponsard et al. in JAP 109. 014107 (2011)
# https://doi.org/10.1063/1.3514083
# The data were filtered using the Savitzky-Golay algorithm
# https://docs.scipy.org/doc/scipy/reference/generated/scipy.signal.savgol_filter.html
# with a window length of 5 and a polyorder of 2
# Theta (degree)	reflectivity_Dyn_TM
30.0000	1.07736880e-05
30.8000	1.09782759e-05
31.6000	1.13577466e-05
32.4000	1.18811154e-05
33.2000	1.26157449e-05
34.0000	1.32824876e-05
34.8000	1.36979605e-05
35.6000	1.41509089e-05
36.4000	1.47767362e-05
37.2000	1.54371421e-05
38.0000	1.59770848e-05
38.8000	1.64139062e-05
39.6000	1.69263450e-05
40.4000	1.74768352e-05
41.2000	1.82254963e-05
42.0000	1.88816684e-05
42.8000	1.92684767e-05
43.6000	1.95041306e-05
44.4000	2.01079521e-05
45.2000	2.10613864e-05
46.0000	2.19365572e-05
46.8000	2.25434005e-05
47.6000	2.29626475e-05
48.4000	2.34301766e-05
49.2000	2.39141385e-05
50.0000	2.44193401e-05
50.8000	2.49894211e-05
51.6000	2.59550946e-05
52.4000	2.70632885e-05
53.2000	2.79140880e-05
54.0000	2.82301609e-05
54.8000	2.85814244e-05
55.6000	2.92211198e-05
56.4000	3.00254357e-05
57.2000	3.06059984e-05
58.0000	3.09232509e-05
58.8000	3.12938064e-05
59.6000	3.17974404e-05
60.4000	3.21478927e-05
61.2000	3.21581365e-05
62.0000	3.19941542e-05
62.8000	3.18005642e-05
63.6000	3.15075796e-05
64.4000	3.11897538e-05
65.2000	3.09280728e-05
66.0000	3.04899375e-05
66.8000	2.97284492e-05
67.6000	2.86604141e-05
68.4000	2.74673724e-05
69.2000	2.63682111e-05
70.0000	2.52903183e-05
