# Data extracted from FIG 12 in the article published by Cuniot-Ponsard et al. in JAP 109. 014107 (2011)
# https://doi.org/10.1063/1.3514083
# The data were filtered using the Savitzky-Golay algorithm
# https://docs.scipy.org/doc/scipy/reference/generated/scipy.signal.savgol_filter.html
# with a window length of 5 and a polyorder of 2
# Theta (degree)	reflectivity_TE
30.0000	0.60104063
30.8000	0.60746405
31.6000	0.61262839
32.4000	0.61658834
33.2000	0.61918210
34.0000	0.62054419
34.8000	0.62386785
35.6000	0.62953331
36.4000	0.63609605
37.2000	0.64151709
38.0000	0.64643446
38.8000	0.65143300
39.6000	0.65638386
40.4000	0.66091370
41.2000	0.66491267
42.0000	0.66862626
42.8000	0.67314571
43.6000	0.67852186
44.4000	0.68407204
45.2000	0.68911993
46.0000	0.69398405
46.8000	0.69893256
47.6000	0.70386153
48.4000	0.70869212
49.2000	0.71349774
50.0000	0.71840183
50.8000	0.72345273
51.6000	0.72832578
52.4000	0.73291544
53.2000	0.73724658
54.0000	0.74207502
54.8000	0.74751319
55.6000	0.75335348
56.4000	0.75910527
57.2000	0.76489686
58.0000	0.77016725
58.8000	0.77470431
59.6000	0.77901492
60.4000	0.78403083
61.2000	0.78964494
62.0000	0.79544479
62.8000	0.80118288
63.6000	0.80692106
64.4000	0.81265913
65.2000	0.81848297
66.0000	0.82401920
66.8000	0.82885067
67.6000	0.83301095
68.4000	0.83693117
69.2000	0.84088208
70.0000	0.84478542
