# Data extracted from FIG 12 in the article published by Cuniot-Ponsard et al. in JAP 109. 014107 (2011)
# https://doi.org/10.1063/1.3514083
# The data were filtered using the Savitzky-Golay algorithm
# https://docs.scipy.org/doc/scipy/reference/generated/scipy.signal.savgol_filter.html
# with a window length of 5 and a polyorder of 2
# Theta (degree)	reflectivity_TM
30.0000	0.51640430
30.8000	0.51423130
31.6000	0.51242242
32.4000	0.51087620
33.2000	0.50994768
34.0000	0.50956213
34.8000	0.50814747
35.6000	0.50543997
36.4000	0.50211745
37.2000	0.49930780
38.0000	0.49693094
38.8000	0.49505123
39.6000	0.49373793
40.4000	0.49233749
41.2000	0.49009607
42.0000	0.48704416
42.8000	0.48385667
43.6000	0.48101882
44.4000	0.47843689
45.2000	0.47594004
46.0000	0.47348033
46.8000	0.47103277
47.6000	0.46830872
48.4000	0.46525091
49.2000	0.46203052
50.0000	0.45885543
50.8000	0.45571575
51.6000	0.45249533
52.4000	0.44883231
53.2000	0.44472335
54.0000	0.44026625
54.8000	0.43557206
55.6000	0.43070614
56.4000	0.42607203
57.2000	0.42181017
58.0000	0.41727476
58.8000	0.41205203
59.6000	0.40630791
60.4000	0.40054689
61.2000	0.39493281
62.0000	0.38967683
62.8000	0.38472463
63.6000	0.37924549
64.4000	0.37318795
65.2000	0.36587314
66.0000	0.35753189
66.8000	0.34920868
67.6000	0.34211162
68.4000	0.33564485
69.2000	0.32909298
70.0000	0.32260796
